Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,QC_Correlation,QC_report,blast,panaroo_present,
irp2~~~tam~~~mbtB,;irp2;tam;mbtB,Amino acid adenylation domain-containing protein;non-ribosomal peptide synthetase;Irp2;Peptide synthetase;Carrier domain-containing protein;AMP-binding enzyme;hypothetical protein;Peptide synthetase-like protein;yersiniabactin non-ribosomal peptide synthetase HMWP2;Trans-aconitate methyltransferase;Phenyloxazoline synthase MbtB,290,297,200,354,59.18367347,54.37788018,1.728282828,6.99E-06,0.195132241,3.04E-04,125,76,80,0.002226488,0.019677394,0.988099519,GOOD,611,612,
ybtU,;ybtU,Oxidoreductase;yersiniabactin biosynthetic protein YbtU,290,297,200,354,59.18367347,54.37788018,1.728282828,6.99E-06,0.195132241,3.04E-04,125,76,80,0.002226488,0.019677394,0.988099519,GOOD,611,612,
ybtT,;ybtT,Thioesterase;Surfactin synthase thioesterase subunit;yersiniabactin biosynthesis thioesterase YbtT,290,297,200,354,59.18367347,54.37788018,1.728282828,6.99E-06,0.195132241,3.04E-04,125,76,80,0.002226488,0.019677394,0.988099519,GOOD,611,612,
ybtA,ybtA,yersiniabactin transcriptional regulator YbtA,290,297,200,354,59.18367347,54.37788018,1.728282828,6.99E-06,0.195132241,3.04E-04,125,76,80,0.002226488,0.019677394,0.993203299,GOOD,614,612,
ybtX,;ybtX,Signal transducer;putative signal transducer;yersiniabactin-associated zinc MFS transporter YbtX;MFS transporter,290,297,200,354,59.18367347,54.37788018,1.728282828,6.99E-06,0.195132241,3.04E-04,125,76,80,0.002226488,0.019677394,0.993203299,GOOD,614,612,
fyuA,fyuA,yersiniabactin receptor FyuA,290,297,200,354,59.18367347,54.37788018,1.728282828,6.99E-06,0.195132241,3.04E-04,125,76,80,0.002226488,0.019677394,0.996599229,GOOD,612,612,
group_5495,;fabG,SDR family oxidoreductase,221,380,269,271,45.10204082,41.62826421,0.585902954,9.29E-06,0.259525921,3.95E-04,65,48,42,1.52E-04,0.024811975,0.972869481,GOOD,612,620,
araH~~~rbsC,araH;rbsC;,Ribose/xylose/arabinose/galactoside ABC-type transport system permease component;Ribose ABC transporter permease RbsC;Sugar ABC transporter permease,221,380,269,271,45.10204082,41.62826421,0.585902954,9.29E-06,0.259525921,3.95E-04,65,48,42,1.52E-04,0.024811975,0.981402521,GOOD,611,620,
group_9545,;citG,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase;hypothetical protein;Triphosphoribosyl-dephospho-CoA synthetase;Membrane protein associated with oxaloacetate decarboxylase;oxaloacetate decarboxylase (Na(+) extruding),316,322,174,329,64.48979592,50.53763441,1.855572214,4.12E-07,0.011514655,2.24E-05,92,57,60,0.004609105,0.028016902,0.934847116,INSPECT,684,662,
group_6409,dsbA;,DsbA family protein;Thiol:disulfide interchange protein,311,314,179,337,63.46938776,51.76651306,1.864694161,3.17E-07,0.008858348,1.78E-05,64,41,46,6.17E-04,0.032765759,0.996574546,GOOD,644,644,
group_5625,NA,Transcriptional regulator;hypothetical protein,355,390,135,261,72.44897959,40.0921659,1.75982906,1.07E-05,0.298690834,4.48E-04,86,53,55,0.012672514,0.039853629,0.994405867,GOOD,766,765,
yvrE,yvrE;,Sugar lactone lactonase YvrE;Gluconolactonase,303,336,187,315,61.83673469,48.38709677,1.519050802,5.97E-04,1,0.018851876,86,59,53,7.32E-04,0.039853629,0.994842332,GOOD,656,655,
blaCTXM~~~blaCTXM15,blaCTX-M;blaCTX-M-15,CTX-M family extended-spectrum class A beta-lactamase;extended-spectrum class A beta-lactamase CTX-M-15,249,230,241,421,50.81632653,64.66973886,1.891196103,1.79E-07,0.005013123,1.09E-05,117,70,77,8.00E-04,0.041500789,0.99651372,GOOD,494,494,
group_7927,NA,DNA-binding protein;hypothetical protein,25,82,465,569,5.102040816,87.40399386,0.373065827,1.33E-05,0.370315922,5.45E-04,60,22,50,1.62E-07,0.051893896,0.989772883,GOOD,106,108,
group_6999,NA,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme;Aminotransferase;Aminotransferase class I/classII domain-containing protein;Cystathionine beta-lyase,63,151,427,500,12.85714286,76.80491551,0.488546303,8.20E-06,0.229049498,3.52E-04,78,30,58,1.95E-05,0.053544392,0.988990071,GOOD,223,225,
