Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,QC_Correlation,QC_report,blast,panaroo_present
group_25099,tnp,IS3 family ISKpn1 transposase ORF A,255,320,313,253,44.8943662,44.15357766,0.644119409,2.40E-04,1,0.00949406,120,75,72,0.007846593,0.035323683,0.841283939,INSPECT,701,603
group_10969,NA,Glycosyltransferase family 25 (LPS biosynthesis protein),1,15,567,558,0.176056338,97.38219895,0.065608466,4.79E-04,1,0.017489904,9,1,9,0.00390625,0.0390625,1,GOOD,16,16
group_10678,NA,Putative glycosyl transferase,1,15,567,558,0.176056338,97.38219895,0.065608466,4.79E-04,1,0.017489904,9,1,9,0.00390625,0.0390625,1,GOOD,16,16
group_10204,NA,Glycosyl transferase family 2,1,14,567,559,0.176056338,97.55671902,0.070420761,9.12E-04,1,0.031065074,9,1,9,0.00390625,0.0390625,1,GOOD,15,15
group_9402,NA,Glycosyl transferases group 1,1,14,567,559,0.176056338,97.55671902,0.070420761,9.12E-04,1,0.031065074,9,1,9,0.00390625,0.0390625,1,GOOD,15,15
group_1138,virB2;,Major pilus subunit of type IV secretion complex VirB2;TrbC/VirB2 family protein,314,224,254,349,55.28169014,60.90750436,1.926075647,4.66E-08,0.001301356,3.91E-06,115,69,72,0.008735109,0.039750505,0.996602505,GOOD,560,562
group_5090,NA,hypothetical protein,7,35,561,538,1.232394366,93.89179756,0.191800357,1.07E-05,0.299772533,5.88E-04,20,5,16,0.011817932,0.041389465,0.976663584,GOOD,45,43
iutA,iutA,ferric aerobactin receptor IutA,147,95,421,478,25.88028169,83.42059337,1.756869609,1.23E-04,1,0.005165999,30,22,21,0.016124802,0.042773945,0.989887105,GOOD,252,250
iucC,iucC;,NIS family aerobactin synthetase IucC;Aerobactin siderophore biosynthesis protein,147,95,421,478,25.88028169,83.42059337,1.756869609,1.23E-04,1,0.005165999,30,22,21,0.016124802,0.042773945,0.994949961,GOOD,252,250
iucD,iucD,NADPH-dependent L-lysine N(6)-monooxygenase IucD;lysine 6-monooxygenase IucD,147,95,421,478,25.88028169,83.42059337,1.756869609,1.23E-04,1,0.005165999,30,22,21,0.016124802,0.042773945,0.987327729,GOOD,251,250
group_11226,NA,hypothetical protein;Invasin,316,256,252,317,55.63380282,55.32286213,1.552765377,2.40E-04,1,0.00949406,119,71,78,8.88E-04,0.043268263,0.993212991,GOOD,599,597
araH~~~rbsC,araH;rbsC;,Ribose/xylose/arabinose/galactoside ABC-type transport system permease component;Ribose ABC transporter permease RbsC;Sugar ABC transporter permease,267,334,301,239,47.00704225,41.71029668,0.634740486,1.47E-04,1,0.006077703,72,51,45,5.35E-04,0.04437092,0.981402521,GOOD,611,620
group_5495,;fabG,SDR family oxidoreductase,267,334,301,239,47.00704225,41.71029668,0.634740486,1.47E-04,1,0.006077703,72,51,45,5.35E-04,0.04437092,0.972869481,GOOD,612,620
group_1609,NA,DUF1367 domain-containing protein,217,133,351,440,38.20422535,76.78883072,2.045284151,4.40E-08,0.001227919,3.72E-06,110,66,66,0.044762094,0.044762094,0.996005927,GOOD,361,361
group_10488,NA,hypothetical protein,455,398,113,175,80.1056338,30.54101222,1.770467381,4.14E-05,1,0.002091653,74,52,46,6.43E-04,0.047392976,0.997733702,GOOD,884,885
virB1,virB1,Type IV secretion system protein virB1,313,224,255,349,55.1056338,60.90750436,1.912412465,6.49E-08,0.001813138,5.30E-06,114,68,72,0.006351624,0.048724686,0.994896938,GOOD,562,561
group_14487,;tnp,IS6 family transposase;IS6 family IS6100 transposase;IS6-like element IS6100 family transposase;DDE domain-containing protein,244,184,324,389,42.95774648,67.88830716,1.59212292,1.88E-04,1,0.007617193,138,81,87,0.00275434,0.049848081,0.976495912,GOOD,443,444
